step,tokens,loss,lr,tok_per_s,elapsed_s
25,409600,5.9917,4.098e-04,208442,2.0
50,819200,4.4614,8.197e-04,241158,3.7
75,1228800,4.1131,1.000e-03,243465,5.3
100,1638400,3.9684,9.996e-04,246610,7.0
125,2048000,3.9181,9.990e-04,245467,8.7
150,2457600,3.7814,9.981e-04,243566,10.4
175,2867200,3.6399,9.968e-04,243248,12.0
200,3276800,3.4399,9.953e-04,244359,13.7
225,3686400,3.4889,9.934e-04,240012,15.4
250,4096000,3.3245,9.913e-04,244441,17.1
275,4505600,3.1236,9.888e-04,245914,18.8
300,4915200,3.1732,9.860e-04,246177,20.4
325,5324800,3.1554,9.829e-04,246040,22.1
350,5734400,3.0985,9.796e-04,245380,23.8
375,6144000,2.9192,9.759e-04,241409,25.5
400,6553600,2.7858,9.719e-04,242864,27.1
425,6963200,2.8677,9.677e-04,245382,28.8
450,7372800,2.7576,9.631e-04,245375,30.5
475,7782400,2.6090,9.583e-04,246569,32.1
500,8192000,2.7840,9.532e-04,244853,33.8
525,8601600,2.7416,9.478e-04,245708,35.5
550,9011200,2.5059,9.422e-04,244558,37.2
575,9420800,2.5661,9.362e-04,242840,38.8
600,9830400,2.4592,9.300e-04,239968,40.6
625,10240000,2.5341,9.236e-04,240847,42.3
650,10649600,2.5040,9.169e-04,245913,43.9
675,11059200,2.3937,9.099e-04,243731,45.6
700,11468800,2.5115,9.027e-04,244053,47.3
725,11878400,2.3372,8.952e-04,245368,48.9
750,12288000,2.5269,8.875e-04,239140,50.7
775,12697600,2.5003,8.796e-04,243886,52.3
800,13107200,2.3276,8.714e-04,241217,54.0
825,13516800,2.4717,8.631e-04,239348,55.8
850,13926400,2.3859,8.545e-04,241255,57.4
875,14336000,2.3849,8.457e-04,237805,59.2
900,14745600,2.3601,8.367e-04,241035,60.9
925,15155200,2.2377,8.274e-04,244610,62.5
950,15564800,2.2087,8.180e-04,246323,64.2
975,15974400,2.3201,8.085e-04,241209,65.9
1000,16384000,2.2700,7.987e-04,241965,67.6
1025,16793600,2.3205,7.888e-04,245722,69.3
1050,17203200,2.1746,7.787e-04,245961,70.9
1075,17612800,2.1881,7.684e-04,244658,72.6
1100,18022400,2.2358,7.580e-04,242704,74.3
1125,18432000,2.2864,7.475e-04,242502,76.0
1150,18841600,2.1548,7.368e-04,240083,77.7
1175,19251200,2.1117,7.260e-04,243657,79.4
1200,19660800,2.0640,7.150e-04,241222,81.1
1225,20070400,2.2602,7.040e-04,239426,82.8
1250,20480000,1.9998,6.928e-04,239352,84.5
1275,20889600,2.0819,6.816e-04,235545,86.2
1300,21299200,2.1520,6.702e-04,240311,87.9
1325,21708800,2.0373,6.588e-04,238325,89.7
1350,22118400,2.0422,6.473e-04,244006,91.3
1375,22528000,2.1653,6.357e-04,242245,93.0
1400,22937600,2.0577,6.241e-04,241847,94.7
1425,23347200,2.0594,6.124e-04,246149,96.4
1450,23756800,1.9467,6.007e-04,241178,98.1
1475,24166400,2.1270,5.889e-04,243443,99.8
1500,24576000,2.0350,5.772e-04,241645,101.5
1525,24985600,2.1121,5.654e-04,239785,103.2
1550,25395200,1.9841,5.535e-04,243345,104.8
1575,25804800,2.0408,5.417e-04,246367,106.5
1600,26214400,1.9223,5.299e-04,240895,108.2
1625,26624000,1.9800,5.181e-04,240660,109.9
1650,27033600,2.0322,5.063e-04,242498,111.6
1675,27443200,2.0608,4.946e-04,242568,113.3
1700,27852800,1.8951,4.829e-04,242581,115.0
1725,28262400,2.1009,4.712e-04,242441,116.7
1750,28672000,1.9855,4.596e-04,242838,118.4
1775,29081600,1.9132,4.481e-04,244324,120.0
1800,29491200,1.9720,4.366e-04,246560,121.7
1825,29900800,1.8545,4.252e-04,243834,123.4
1850,30310400,2.0184,4.139e-04,243504,125.1
1875,30720000,1.9373,4.027e-04,241349,126.7
1900,31129600,1.9712,3.916e-04,246886,128.4
1925,31539200,1.9404,3.806e-04,240725,130.1
1950,31948800,2.0210,3.697e-04,243582,131.8
1975,32358400,1.9467,3.589e-04,246548,133.5
2000,32768000,1.9332,3.483e-04,242594,135.1
2025,33177600,1.9793,3.378e-04,245294,136.8
2050,33587200,1.7773,3.275e-04,243643,138.5
2075,33996800,1.9040,3.173e-04,241953,140.2
2100,34406400,1.8934,3.072e-04,243729,141.9
2125,34816000,1.8437,2.974e-04,246364,143.5
2150,35225600,1.8447,2.877e-04,243821,145.2
2175,35635200,1.8004,2.782e-04,243774,146.9
2200,36044800,1.7543,2.688e-04,244681,148.6
2225,36454400,1.8842,2.597e-04,246764,150.2
2250,36864000,1.8368,2.508e-04,246788,151.9
2275,37273600,1.8495,2.421e-04,246873,153.5
2300,37683200,1.9525,2.336e-04,246334,155.2
2325,38092800,1.8266,2.253e-04,246597,156.9
2350,38502400,1.7478,2.172e-04,243841,158.5
2375,38912000,1.8207,2.094e-04,240778,160.2
2400,39321600,1.8863,2.018e-04,243122,161.9
2425,39731200,1.8921,1.944e-04,244650,163.6
2450,40140800,1.7054,1.873e-04,240507,165.3
2475,40550400,1.7879,1.804e-04,241858,167.0
2500,40960000,1.8321,1.738e-04,242257,168.7
2525,41369600,1.8111,1.674e-04,239511,170.4
2550,41779200,1.7332,1.614e-04,238236,172.1
2575,42188800,1.7710,1.555e-04,245390,173.8
2600,42598400,1.7244,1.500e-04,243974,175.5
2625,43008000,1.8726,1.447e-04,245715,177.1
2650,43417600,1.6835,1.397e-04,245842,178.8
2675,43827200,1.7380,1.350e-04,246477,180.5
2700,44236800,1.8865,1.306e-04,244078,182.1
2725,44646400,1.7880,1.264e-04,240291,183.8
2750,45056000,1.7375,1.226e-04,243818,185.5
2775,45465600,1.6845,1.190e-04,243354,187.2
2800,45875200,1.7362,1.158e-04,243133,188.9
2825,46284800,1.7524,1.128e-04,244368,190.6
2850,46694400,1.8029,1.102e-04,240546,192.3
2875,47104000,1.6827,1.078e-04,241191,194.0
2900,47513600,1.7828,1.058e-04,246330,195.6
2925,47923200,1.8090,1.041e-04,243817,197.3
2950,48332800,1.8165,1.026e-04,244028,199.0
2975,48742400,1.6997,1.015e-04,246219,200.7
3000,49152000,1.7882,1.007e-04,246290,202.3
3025,49561600,1.6695,1.002e-04,243282,204.0
3050,49971200,1.7739,1.000e-04,244010,205.7
3052,50003968,1.7217,1.000e-04,3048465,205.8
