step,tokens,loss,lr,tok_per_s,elapsed_s
25,1945600,5.6156,1.998e-03,239735,8.1
50,3891200,5.3378,1.985e-03,247386,16.0
75,5836800,4.8527,1.957e-03,249223,23.8
100,7782400,4.5106,1.917e-03,249584,31.6
125,9728000,4.3767,1.864e-03,250701,39.3
150,11673600,4.2635,1.799e-03,248489,47.2
175,13619200,4.1506,1.723e-03,247940,55.0
200,15564800,4.0383,1.637e-03,249574,62.8
225,17510400,4.0078,1.544e-03,249971,70.6
250,19456000,3.9372,1.443e-03,247555,78.5
275,21401600,3.9147,1.337e-03,248931,86.3
300,23347200,3.8523,1.227e-03,249026,94.1
325,25292800,3.7902,1.116e-03,244350,102.0
350,27238400,3.7332,1.004e-03,243397,110.0
375,29184000,3.7163,8.935e-04,246015,118.0
400,31129600,3.6980,7.863e-04,247459,125.8
425,33075200,3.6654,6.840e-04,246221,133.7
450,35020800,3.6020,5.882e-04,245032,141.7
475,36966400,3.5551,5.002e-04,247489,149.5
500,38912000,3.5094,4.216e-04,246779,157.4
525,40857600,3.4382,3.534e-04,246950,165.3
550,42803200,3.4636,2.968e-04,247414,173.1
575,44748800,3.4411,2.526e-04,249053,181.0
600,46694400,3.4819,2.215e-04,249845,188.7
625,48640000,3.3774,2.040e-04,248926,196.6
643,50040832,3.4217,2.000e-04,345065,202.2
