step,tokens,loss,lr,tok_per_s,elapsed_s
25,409600,6.0871,4.098e-04,143031,2.9
50,819200,4.5361,8.197e-04,158275,5.5
75,1228800,4.1271,1.000e-03,156222,8.1
100,1638400,3.9355,9.996e-04,156377,10.7
125,2048000,3.8945,9.990e-04,158112,13.3
150,2457600,3.7555,9.981e-04,157816,15.9
175,2867200,3.6674,9.968e-04,158103,18.5
200,3276800,3.4792,9.953e-04,158137,21.1
225,3686400,3.5001,9.934e-04,158148,23.6
250,4096000,3.3329,9.913e-04,157823,26.2
275,4505600,3.1326,9.888e-04,158161,28.8
300,4915200,3.1662,9.860e-04,157225,31.4
325,5324800,3.1409,9.829e-04,157156,34.0
350,5734400,3.0639,9.796e-04,155079,36.7
375,6144000,2.8798,9.759e-04,155368,39.3
400,6553600,2.7420,9.719e-04,156981,41.9
425,6963200,2.8324,9.677e-04,156624,44.5
450,7372800,2.7182,9.631e-04,156692,47.2
475,7782400,2.5804,9.583e-04,156581,49.8
500,8192000,2.7433,9.532e-04,156972,52.4
525,8601600,2.6936,9.478e-04,156501,55.0
550,9011200,2.4780,9.422e-04,156919,57.6
575,9420800,2.5434,9.362e-04,157198,60.2
600,9830400,2.4408,9.300e-04,156601,62.8
625,10240000,2.5218,9.236e-04,155699,65.5
650,10649600,2.5059,9.169e-04,157269,68.1
675,11059200,2.3823,9.099e-04,156880,70.7
700,11468800,2.5057,9.027e-04,157159,73.3
725,11878400,2.3257,8.952e-04,157338,75.9
750,12288000,2.5217,8.875e-04,157472,78.5
775,12697600,2.4929,8.796e-04,154919,81.1
800,13107200,2.3391,8.714e-04,157301,83.7
825,13516800,2.4953,8.631e-04,156308,86.4
850,13926400,2.3993,8.545e-04,157345,89.0
875,14336000,2.4081,8.457e-04,154676,91.6
900,14745600,2.3704,8.367e-04,156379,94.2
925,15155200,2.2456,8.274e-04,157341,96.8
950,15564800,2.2424,8.180e-04,157458,99.4
975,15974400,2.3319,8.085e-04,158220,102.0
1000,16384000,2.2846,7.987e-04,156522,104.6
1025,16793600,2.3425,7.888e-04,156646,107.3
1050,17203200,2.1816,7.787e-04,155965,109.9
1075,17612800,2.2147,7.684e-04,158161,112.5
1100,18022400,2.2560,7.580e-04,157170,115.1
1125,18432000,2.3123,7.475e-04,155469,117.7
1150,18841600,2.1887,7.368e-04,156317,120.3
1175,19251200,2.1543,7.260e-04,158287,122.9
1200,19660800,2.0942,7.150e-04,157791,125.5
1225,20070400,2.2921,7.040e-04,158332,128.1
1250,20480000,2.0247,6.928e-04,158291,130.7
1275,20889600,2.1133,6.816e-04,158356,133.3
1300,21299200,2.1898,6.702e-04,158295,135.9
1325,21708800,2.0621,6.588e-04,158353,138.5
1350,22118400,2.0733,6.473e-04,158278,141.0
1375,22528000,2.1943,6.357e-04,158312,143.6
1400,22937600,2.0849,6.241e-04,158330,146.2
1425,23347200,2.0885,6.124e-04,158358,148.8
1450,23756800,1.9809,6.007e-04,158279,151.4
1475,24166400,2.1623,5.889e-04,158310,154.0
1500,24576000,2.0599,5.772e-04,158274,156.6
1525,24985600,2.1519,5.654e-04,158014,159.2
1550,25395200,2.0233,5.535e-04,156646,161.8
1575,25804800,2.0837,5.417e-04,156696,164.4
1600,26214400,1.9559,5.299e-04,157004,167.0
1625,26624000,2.0151,5.181e-04,156022,169.6
1650,27033600,2.0742,5.063e-04,157010,172.2
1675,27443200,2.1048,4.946e-04,157535,174.8
1700,27852800,1.9332,4.829e-04,157750,177.4
1725,28262400,2.1220,4.712e-04,156714,180.0
1750,28672000,2.0154,4.596e-04,154237,182.7
1775,29081600,1.9597,4.481e-04,155540,185.3
1800,29491200,2.0164,4.366e-04,154883,188.0
1825,29900800,1.8930,4.252e-04,154619,190.6
1850,30310400,2.0585,4.139e-04,155241,193.3
1875,30720000,1.9742,4.027e-04,157443,195.9
1900,31129600,2.0075,3.916e-04,158168,198.5
1925,31539200,1.9746,3.806e-04,157174,201.1
1950,31948800,2.0648,3.697e-04,154849,203.7
1975,32358400,1.9946,3.589e-04,157856,206.3
2000,32768000,1.9638,3.483e-04,158128,208.9
2025,33177600,2.0125,3.378e-04,157396,211.5
2050,33587200,1.8221,3.275e-04,157973,214.1
2075,33996800,1.9466,3.173e-04,157663,216.7
2100,34406400,1.9320,3.072e-04,157125,219.3
2125,34816000,1.8803,2.974e-04,156400,221.9
2150,35225600,1.8933,2.877e-04,155683,224.5
2175,35635200,1.8433,2.782e-04,157480,227.1
2200,36044800,1.8013,2.688e-04,158261,229.7
2225,36454400,1.9082,2.597e-04,158031,232.3
2250,36864000,1.8745,2.508e-04,158358,234.9
2275,37273600,1.8853,2.421e-04,158341,237.5
2300,37683200,2.0094,2.336e-04,158360,240.1
2325,38092800,1.8698,2.253e-04,155651,242.7
2350,38502400,1.7846,2.172e-04,157450,245.3
2375,38912000,1.8483,2.094e-04,157528,247.9
2400,39321600,1.9322,2.018e-04,157583,250.5
2425,39731200,1.9475,1.944e-04,155646,253.1
2450,40140800,1.7539,1.873e-04,157214,255.7
2475,40550400,1.8352,1.804e-04,156381,258.4
2500,40960000,1.8752,1.738e-04,156528,261.0
2525,41369600,1.8539,1.674e-04,157908,263.6
2550,41779200,1.7668,1.614e-04,158002,266.2
2575,42188800,1.8148,1.555e-04,155251,268.8
2600,42598400,1.7587,1.500e-04,158031,271.4
2625,43008000,1.9215,1.447e-04,157284,274.0
2650,43417600,1.7261,1.397e-04,156791,276.6
2675,43827200,1.7853,1.350e-04,157366,279.2
2700,44236800,1.9339,1.306e-04,157282,281.8
2725,44646400,1.8220,1.264e-04,157850,284.4
2750,45056000,1.7724,1.226e-04,156678,287.0
2775,45465600,1.7238,1.190e-04,157366,289.6
2800,45875200,1.7770,1.158e-04,156266,292.3
2825,46284800,1.7990,1.128e-04,156902,294.9
2850,46694400,1.8404,1.102e-04,157493,297.5
2875,47104000,1.7251,1.078e-04,157784,300.1
2900,47513600,1.8253,1.058e-04,157763,302.7
2925,47923200,1.8423,1.041e-04,157667,305.3
2950,48332800,1.8616,1.026e-04,157671,307.9
2975,48742400,1.7557,1.015e-04,147286,310.6
3000,49152000,1.8350,1.007e-04,148351,313.4
3025,49561600,1.7156,1.002e-04,157582,316.0
3050,49971200,1.8200,1.000e-04,156348,318.6
3052,50003968,1.7659,1.000e-04,1966041,318.8
