step,tokens,loss,lr,tok_per_s,elapsed_s
25,409600,5.6950,9.920e-04,140219,2.9
50,819200,5.6616,9.551e-04,157903,5.5
75,1228800,5.5823,8.906e-04,158002,8.1
100,1638400,5.2690,8.029e-04,160594,10.7
125,2048000,5.0861,6.980e-04,158870,13.2
150,2457600,4.9351,5.830e-04,160506,15.8
175,2867200,4.7907,4.657e-04,160009,18.3
200,3276800,4.5981,3.541e-04,159557,20.9
225,3686400,4.5479,2.560e-04,160745,23.5
250,4096000,4.4188,1.778e-04,160834,26.0
275,4505600,4.2941,1.250e-04,160153,28.6
300,4915200,4.3472,1.012e-04,158869,31.1
306,5013504,4.3320,1.000e-04,654771,31.8
