step,tokens,loss,lr,tok_per_s,elapsed_s
25,409600,5.7123,9.920e-04,173587,2.4
50,819200,5.6450,9.551e-04,199493,4.4
75,1228800,5.4060,8.906e-04,195529,6.5
100,1638400,5.0916,8.029e-04,200512,8.6
125,2048000,4.8883,6.980e-04,199750,10.6
150,2457600,4.6637,5.830e-04,200930,12.6
175,2867200,4.4681,4.657e-04,201316,14.7
200,3276800,4.3279,3.541e-04,201356,16.7
225,3686400,4.3414,2.560e-04,200936,18.7
250,4096000,4.2427,1.778e-04,199759,20.8
275,4505600,4.1337,1.250e-04,200198,22.8
300,4915200,4.2078,1.012e-04,199051,24.9
306,5013504,4.1773,1.000e-04,838573,25.4
