step,tokens,loss,lr,tok_per_s,elapsed_s
25,409600,5.7109,9.920e-04,208791,2.0
50,819200,5.6282,9.551e-04,243602,3.6
75,1228800,5.4475,8.906e-04,243176,5.3
100,1638400,5.0662,8.029e-04,243012,7.0
125,2048000,4.8316,6.980e-04,243163,8.7
150,2457600,4.5720,5.830e-04,242964,10.4
175,2867200,4.4001,4.657e-04,242931,12.1
200,3276800,4.2829,3.541e-04,243098,13.8
225,3686400,4.3120,2.560e-04,242906,15.4
250,4096000,4.2229,1.778e-04,242963,17.1
275,4505600,4.1048,1.250e-04,243169,18.8
300,4915200,4.1921,1.012e-04,243081,20.5
306,5013504,4.1503,1.000e-04,1010752,20.9
