step,tokens,loss,lr,tok_per_s,elapsed_s
25,409600,5.5614,9.920e-04,210307,1.9
50,819200,4.8597,9.551e-04,248200,3.6
75,1228800,4.3665,8.906e-04,248363,5.2
100,1638400,4.1215,8.029e-04,247612,6.9
125,2048000,4.0442,6.980e-04,243217,8.6
150,2457600,3.9052,5.830e-04,246364,10.2
175,2867200,3.8422,4.657e-04,246032,11.9
200,3276800,3.7098,3.541e-04,245659,13.6
225,3686400,3.7690,2.560e-04,242791,15.3
250,4096000,3.6525,1.778e-04,237794,17.0
275,4505600,3.4998,1.250e-04,241607,18.7
300,4915200,3.5935,1.012e-04,243960,20.4
306,5013504,3.5319,1.000e-04,1005082,20.8
