step,tokens,loss,lr,tok_per_s,elapsed_s
25,409600,5.6753,9.920e-04,140861,2.9
50,819200,5.2478,9.551e-04,157492,5.5
75,1228800,4.7852,8.906e-04,156899,8.1
100,1638400,4.4465,8.029e-04,156618,10.7
125,2048000,4.3047,6.980e-04,156163,13.4
150,2457600,4.1517,5.830e-04,154069,16.0
175,2867200,4.0713,4.657e-04,154138,18.7
200,3276800,3.9421,3.541e-04,155233,21.3
225,3686400,4.0070,2.560e-04,157155,23.9
250,4096000,3.9248,1.778e-04,156394,26.5
275,4505600,3.7910,1.250e-04,156814,29.1
300,4915200,3.8791,1.012e-04,156958,31.8
306,5013504,3.8475,1.000e-04,654026,32.4
