step,tokens,loss,lr,tok_per_s,elapsed_s
25,409600,5.6994,9.920e-04,173328,2.4
50,819200,5.1062,9.551e-04,194706,4.5
75,1228800,4.6465,8.906e-04,195079,6.6
100,1638400,4.3863,8.029e-04,193453,8.7
125,2048000,4.2736,6.980e-04,195158,10.8
150,2457600,4.1401,5.830e-04,194930,12.9
175,2867200,4.0521,4.657e-04,194831,15.0
200,3276800,3.9415,3.541e-04,195736,17.1
225,3686400,4.0053,2.560e-04,195866,19.2
250,4096000,3.9225,1.778e-04,195537,21.3
275,4505600,3.8047,1.250e-04,195767,23.4
300,4915200,3.8865,1.012e-04,195857,25.4
306,5013504,3.8485,1.000e-04,814974,26.0
