step,tokens,loss,lr,tok_per_s,elapsed_s
25,2252800,5.6709,1.997e-03,242228,9.3
50,4505600,5.0955,1.978e-03,248902,18.4
75,6758400,4.6381,1.941e-03,248282,27.4
100,9011200,4.4298,1.886e-03,249806,36.4
125,11264000,4.2644,1.815e-03,250250,45.4
150,13516800,4.1928,1.729e-03,251834,54.4
175,15769600,4.0760,1.630e-03,251838,63.3
200,18022400,4.0316,1.520e-03,251730,72.3
225,20275200,3.9428,1.401e-03,251723,81.2
250,22528000,3.9025,1.276e-03,251656,90.2
275,24780800,3.7867,1.147e-03,251606,99.1
300,27033600,3.7532,1.017e-03,251623,108.1
325,29286400,3.7140,8.889e-04,251558,117.0
350,31539200,3.6556,7.652e-04,251526,126.0
375,33792000,3.6098,6.485e-04,251505,135.0
400,36044800,3.5211,5.412e-04,251467,143.9
425,38297600,3.4960,4.455e-04,251359,152.9
450,40550400,3.4780,3.634e-04,251413,161.8
475,42803200,3.4381,2.967e-04,251404,170.8
500,45056000,3.4238,2.467e-04,251442,179.8
525,47308800,3.4139,2.144e-04,251384,188.7
550,49561600,3.4179,2.005e-04,251421,197.7
555,50012160,3.3834,2.000e-04,1256499,199.5
