step,tokens,loss,lr,tok_per_s,elapsed_s
10,2539520,6.0891,9.921e-04,128576,19.8
20,5079040,5.7354,9.539e-04,128500,39.5
30,7618560,5.6191,8.868e-04,127377,59.5
40,10158080,5.5486,7.956e-04,127297,79.4
50,12697600,5.3139,6.868e-04,126462,99.5
60,15237120,5.0687,5.681e-04,126307,119.6
70,17776640,4.8478,4.482e-04,128277,139.4
80,20316160,4.6938,3.355e-04,128357,159.2
90,22855680,4.6152,2.383e-04,126936,179.2
100,25395200,4.5070,1.633e-04,126696,199.2
110,27934720,4.4674,1.161e-04,125156,219.5
119,30220288,4.4232,1.002e-04,142616,237.3
